Stat,Source,Source (details),Link to source,Year,Industry,Vertical,Themes,Solution,Region,Language
60% of shoppers want to see new visual UGC on a brand’s social media presence at least once a week.,Bazaarvoice,"Bazaarvoice survey of 8,000 consumers around the world, 2020.",https://www.bazaarvoice.com/resources/how-visual-and-social-content-increase-online-sales-research-report/,2020,Not specific,Not specific,"Social commerce,Visual content,Amplification",,Global,EN
42% of consumers said that fake reviews from the brand itself would result in them losing trust in a brand ,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Trust,Consumer research/behavior,R&R,Loyalty",,Global,EN
34% of consumers said that fake reviews from customers would result in them losing trust in a brand,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Trust,Consumer research/behavior,R&R,Loyalty",,Global,EN
"When a company hasn’t broken trust, 54% of consumers said they would buy from the brand again even after a negative product experience ",Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Trust,Consumer research/behavior,Loyalty",,Global,EN
"The top red flags that make consumers suspicious that a review may be fake are: multiple reviews with similar wording (55%), the review content doesn’t match the product (49%), bad grammar/misspellings (36%), and an overwhelming number of five star/positive reviews (35%). ",Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Trust,Consumer research/behavior,R&R",,Global,EN
"Once consumers suspect a product to have fake reviews: 36% wouldn’t buy the product 28% wouldn’t trust the brand, 27% wouldn’t trust other reviews on your site, and 18% said all of the above.
",Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Trust,Consumer research/behavior,Loyalty,R&R",,Global,EN
Almost three quarters (72%) of global consumers feel the retail industry needs a new set of standards to combat fake reviews. ,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Trust,Consumer research/behavior,R&R",,Global,EN
"When it comes to standards to combat fake reviews, consumers said they want: only customers who made verified purchases are able to post reviews (43%), all products to be tried and tested among legitimate customers before launch (38%), daily reviews of customer content to weed out fake reviews (34%), and websites to publish their reviews process or third-party vendors they use to monitor reviews (20%). 22% want all of the above.
",Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Trust,Consumer research/behavior,R&R",,Global,EN
Global consumers believe that brands in breach of fake reviews standards should be fined almost 16% of their overall revenue -- 4x the punishment for a GDPR regulation.,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Trust,Consumer research/behavior,Loyalty,R&R",,Global,EN
"60% of consumers find negative reviews as useful as positive ones, and 23% find negative reviews more useful than positive ones.",Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Trust,Consumer research/behavior,R&R",,Global,EN
62% of consumers said that negative reviews contain more detailed info on product pros and cons. ,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Trust,Consumer research/behavior,R&R",,Global,EN
32% of consumers said they think negative reviews are less likely to be fraudulent.,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Trust,Consumer research/behavior,R&R",,Global,EN
54% of consumers internationally won’t buy a product if they suspect it has fake reviews,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,R&R",,Global,EN
"28% of shoppers say that once trust is lost, they will leave a negative review for an unsatisfactory product they’ve purchased",Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,R&R",,Global,EN
36% of consumers say that bad grammar or misspellings is among the top red flags that trigger suspicion.,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,R&R",,Global,EN
34% of consumers said fake reviews from other consumers would result in them losing trust for the brand,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,R&R",,Global,EN
55% of consumers say that multiple reviews with similar wording is among the top red flags that trigger suspicion.,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,R&R",,Global,EN
"18% of shoppers say that once trust is lost, they will post on social media.",Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,R&R",,Global,EN
38% of consumers believe that all products should be tried and tested among legitimate consumers before launch.,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,R&R",,Global,EN
"82% of consumers say that once trust is lost, they will avoid using the brand ever again",Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,R&R",,Global,EN
44% of consumers say the greatest threat to customer trust is problems with customer service (e.g. returns process).,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,R&R",,Global,EN
76% of US consumers state they would not buy a product if more than one of the first ten reviews for a product raise their suspicions.,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,R&R",,NA,EN
"72% of consumers across the US, UK, France, Germany, and Australia feel the retail industry needs a new set of standards to combat fake reviews",Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,R&R",,Global,EN
20% of consumers believe websites should publish their reviews process or third-party vendors they use to monitor reviews,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,R&R",,Global,EN
51% of consumers say the greatest threat to customer trust is dishonest brand and product information.,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,R&R",,Global,EN
35% of consumers say an overwhelming amount of five star/positive reviews make them suspicious that a product has fake reviews.,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,R&R",,Global,EN
64% of consumers say the greatest threat to customer trust is poor quality products,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,R&R",,Global,EN
34% of consumers believe daily there should be reviews of customer content to weed out fake reviews,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,R&R",,Global,EN
43% of consumers believe only customer who made verified purchases should be able to post reviews.,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,R&R",,Global,EN
62% of U.S. consumers say negative reviews are as important as positive reviews in their decision to purchase a product.,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,Trust",,NA,EN
"40% of shoppers say fake reviews from a brand would cause them to lose trust for the brand, while a third of shoppers say fake reviews from other shoppers would cause the same outcome.",Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,Trust",,Global,EN
38% of shoppers would trust a product recommendation from an employee as long as it’s authentic.,Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,Trust",,Global,EN
"29% of shoppers say they’d trust a store associate recommending a product to them while in-store, but few shoppers would trust social media posts from employees promoting their favorite products or in-store signage denoting “staff picks.”",Bazaarvoice,"Bazaarvoice survey of 10,000 people across 5 different markets.",https://www.bazaarvoice.com/resources/consumers-call-for-action-on-fake-reviews/,2020,Not specific,Not specific,"Consumer research/behavior,Trust",,Global,EN
Advertising based on UGC can result in a 400% increase in click-through-rates.,3rd party,"Business.com: How You Get More From a UGC Strategy, 2017.",https://www.business.com/articles/user-generated-content/,2017,Not specific,Not specific,Amplification,,Not specific,EN
73% of consumers want product reviews in their language,3rd party,"CSA Research again selected Kantar to field the survey and vet responses from thousands of consumers in 29 countries. Then the CSA Research team of analysts and data scientists analyzed the hundreds of thousands of datapoints from the survey’s 50 questions. Their correlations, analysis, and insight provide reliable data to make the ROI case for delivering localized experiences throughout the customer journey.",https://csa-research.com/More/Featured-Content/Global-Growth/CRWB-Series/CRWB-B2C,2020,Not specific,Not specific,R&R,,Global,EN
40% of consumers will not buy in other languages,3rd party,"CSA Research again selected Kantar to field the survey and vet responses from thousands of consumers in 29 countries. Then the CSA Research team of analysts and data scientists analyzed the hundreds of thousands of datapoints from the survey’s 50 questions. Their correlations, analysis, and insight provide reliable data to make the ROI case for delivering localized experiences throughout the customer journey.",https://csa-research.com/More/Featured-Content/Global-Growth/CRWB-Series/CRWB-B2C,2020,Not specific,Not specific,R&R,,Global,EN
"49% of online shoppers say they would buy products directly from live videos where brands, celebrities or influencers they follow are launching new products",3rd party,"Facebook IQ, 2020",https://go.facebookinc.com/rs/267-PVB-941/images/10000000_643167289689951_7379608629430303560_n.pdf,2020,,,,,,
"61% of consumers say they were motivated to shop for apparel, electronics, beauty and/or furniture online because they happened to come across it unexpectedly.",3rd party,"Facebook IQ, 2020",https://go.facebookinc.com/rs/267-PVB-941/images/10000000_643167289689951_7379608629430303560_n.pdf,2020,,,,,,
69% of US and UK beauty buyers said quality (indicated by ratings and reviews) was the most important factor when buying beauty products (more than all other considered factors),3rd party,"GlobalWebIndex | Survey of 2,084 (U.S.) and 1,992 (UK) beauty buyers in GlobalWebIndex's custom survey aged 16-64; and 75,397 (UK) and 13,698 (U.S.) beauty buyers in GlobalWebIndex's Q3 2019 wave of research.",https://www.globalwebindex.com/hubfs/The_Beauty_Industry.pdf,2019,Health & Beauty,Not specific,"Consumer research/behavior,R&R",,"NA,UK",EN
53% of mobile users abandon a site if it takes longer than 3 seconds to load.,3rd party,"Google Data, Global, n=3,700 aggregated, anonymized Google Analytics data from a sample of mWeb sites opted into sharing benchmark data, March 2016.",https://www.thinkwithgoogle.com/data/mobile-site-load-time-statistics/,2016,Not specific,Not specific,Consumer research/behavior,,Global,EN
82% of smartphone users consult their phones on purchases they’re about to make in a store.,3rd party,"Google: Think With Google: How mobile has redefined the consumer decision journey for shoppers, 2016.",https://www.thinkwithgoogle.com/marketing-resources/micro-moments/mobile-shoppers-consumer-decision-journey,2016,Not specific,Not specific,ROBO,,Not specific,EN
81% trust their friends and family’s advice over advice from a business,3rd party,"HubSpot Research Consumer Customer Support Survey, Q2 2018 | 1,000 consumers in the US, UK, Australia, and Singapore",https://blog.hubspot.com/service/customer-acquisition-study?__hstc=200701681.448f4caa5408e12806e11271b936f002.1542992562448.1542992562448.1547466725565.2&__hssc=200701681.2.1547466725565&__hsfp=2938336133,2018,Not specific,Not specific,Consumer research/behavior,,Global,EN
Almost 80% of marketers use market research to inform their business decisions,3rd party,"HubSpot Research, Global Survey, 2019.",https://www.hubspot.com/state-of-marketing,2019,Not specific,Not specific,Insights,,Global,EN
68% of marketers surveyed say that their company uses customer feedback to make business decisions,3rd party,"HubSpot Research, Global Survey, 2019.",https://www.hubspot.com/state-of-marketing,2019,Not specific,Not specific,Insights,,Global,EN
98% of consumers consult product reviews before making a purchase.,Influenster,"Influenster Review Insights Survey of 11,000 consumers, 2020.",,2019,Not specific,Not specific,Consumer research/behavior,,NA,EN
77% of consumers consider product reviews the most influential source of information for guiding purchase decisions.,Influenster,"Influenster Review Insights Survey of 11,000 consumers, 2020.",,2019,Not specific,Not specific,Consumer research/behavior,,NA,EN
88% of consumers say they read at least five product reviews before purchasing a product they have never used.,Influenster,"Influenster Review Insights Survey of 11,000 consumers, 2020.",,2019,Not specific,Not specific,Consumer research/behavior,,NA,EN
68% of consumers say they trust the authenticity of reviews where the reviewer received the product for free in exchange for a review as long as they disclose it.,Influenster,"Influenster Review Insights Survey of 11,000 consumers, 2020.",,2019,Not specific,Not specific,"Trust,Incentivized",,NA,EN
42% of consumers say negative product reviews are more useful in their purchase decision than positive reviews.,Influenster,"Influenster Review Insights Survey of 11,000 consumers, 2020.",,2019,Not specific,Not specific,Consumer research/behavior,,NA,EN
94% of consumers say a product needs at least 10 reviews to consider the product credible. ,Influenster,"Influenster Review Insights Survey of 11,000 consumers, 2020.",,2019,Not specific,Not specific,"Consumer research/behavior,Volume",,NA,EN
42% of consumers consider reviews with photos more credible.,Influenster,"Influenster Review Insights Survey of 11,000 consumers, 2020.",,2019,Not specific,Not specific,Visual content,,NA,EN
44% of consumers say that reviews with photos shows them that people are actually buying the product.,Influenster,"Influenster Review Insights Survey of 11,000 consumers, 2020.",,2019,Not specific,Not specific,Visual content,,NA,EN
42% of consumers say that reviews with photos reassure them that he person who wrote the review is real.,Influenster,"Influenster Review Insights Survey of 11,000 consumers, 2020.",,2019,Not specific,Not specific,Visual content,,NA,EN
81% of consumers will only consider purchasing products with an average of 4 or 5 stars.,Influenster,"Influenster Review Insights Survey of 11,000 consumers, 2020.",,2019,Not specific,Not specific,Rating,,NA,EN
Consumers prefer a lot of reviews — even if they are a mix of positive and negative — over no reviews at all (78% to 5%),Influenster,"Influenster Review Insights Survey of 11,000 consumers, 2020.",,2019,Not specific,Not specific,"Consumer research/behavior,Volume",,NA,EN
"58% of consumers would rather purchase a product with fewer, but more recent reviews (within past three months).",Influenster,"Influenster Review Insights Survey of 11,000 consumers, 2020.",,2019,Not specific,Not specific,Recency,,NA,EN
75% of consumers want reviews to be 3 or more sentences long.,Influenster,"Influenster Review Insights Survey of 11,000 consumers, 2020.",,2019,Not specific,Not specific,Consumer research/behavior,,NA,EN
60% of consumers read reviews before buying a new food or drink product.,Influenster,"Influenster survey of 11,000 consumers.",,2019,Food / Bev / Drug,Not specific,Consumer research/behavior,,NA,EN
"When it comes to starting an online experience, 93% of users start it on Google or on one of the alternative search engines.",3rd party,"Joel House Search Media: 47 SEO Statistics That Will Absolutely Shock You, 2020.",https://joelhouse.com.au/blog/seo-statistics/,2019,Not specific,Not specific,SEO,,Not specific,EN
Only 33% of shoppers believe and trust information and advertising coming directly from the brand.,3rd party,"Kantar DIMENSION study: Authentic Communication in a Mistrusting World, 2019.; based on survey results of 5,000 consumers globally.",https://www.kantarmedia.com/us/thinking-and-resources/reports/dimension-2019-2-authentic-communication-in-a-mistrusting-world,2019,Not specific,Not specific,Trust,,Global,EN
89% of marketers say ROI from influencer marketing is comparable to or better than other marketing channels,3rd party,"MediaKix consumer surveyThis survey was taken by 162 participants between January 15 – 25, 2019. Over 90% of participants were based in the United States, but a handful were from the United Kingdom, Australia, Canada, Republic of Ireland, Germany, and France.

Survey participants were required to use a business email in order to confirm that they worked at one of these three company types:

Agencies (influencer agencies, PR, creative agencies, etc.): 52%
Consumer-facing brands (gaming, travel, e-commerce, fashion, travel etc.): 37%
B2B companies (business service providers, software, etc.): 11%",https://mediakix.com/influencer-marketing-resources/influencer-marketing-industry-statistics-survey-benchmarks/,2019,Not specific,Not specific,Influencer marketing,,Global,EN
Only 34% of consumers say that traditional media is a very influential source of information for them when shopping.,3rd party,"Murphy Research: Shopper Trends Report: Understanding Shopper Behavior in an Omnichannel World, 2018.",https://murphyresearch.com/syndicated/2018-shopper-trends,2018,Not specific,Not specific,"Consumer research/behavior,Trust",,Not specific,EN
"47% of shoppers consider online customer reviews to be an influential source of information, second only to recommendations from family or friends.",3rd party,"Murphy Research: Shopper Trends Report: Understanding Shopper Behavior in an Omnichannel World, 2018.",https://murphyresearch.com/syndicated/2018-shopper-trends,2018,Not specific,Not specific,"Trust,R&R",,Not specific,EN
"57% of consumers say they expect a brand to reply to a negative review; of those, 93% said their loyalty to the brand would be negatively impacted if the retailer didn’t respond.",3rd party,"NRF Holiday Planning Playbook: Survey of 2,000 consumers, 2017.",https://nrf.com/research/2017-retail-holiday-planning-playbook,2017,Not specific,Not specific,Review Response,,Not specific,EN
"81% of consumers worldwide belong to one of two shopper groups: Value-based consumers (41%) who want convenience and products and brands that simplify their lives, and purpose-based consumers (40%) who seek products and services aligned with their personal values.",3rd party,"NRF: Meet the 2020 Consumers Driving Change: Based a research study of 18,980 consumers in 29 countries.",https://nrf.com/research/meet-2020-consumers-driving-change,2020,Not specific,Not specific,Consumer research/behavior,,Global,EN
Shoppers say the ability to ask questions online is second only to price competitiveness in purchase decisions.,3rd party,"Pew Research Center, Online Shopping and E-commerce, 2016.",https://www.pewresearch.org/internet/2016/12/19/online-shopping-and-e-commerce/,2016,Not specific,Not specific,"Q&A,Consumer research/behavior",,NA,EN
62% of in-store shoppers use their phones to look up online reviews before making a purchase.,3rd party,"Pew Research Center: Online shopping and Americans’ purchasing preferences, 2016.",http://www.pewinternet.org/2016/12/19/online-shopping-and-e-commerce,2016,Not specific,Not specific,ROBO,,Not specific,EN
93% of consumers say online reviews do impact their purchasing decisions.,3rd party,"Podium: The State of Online Reviews, 2017.",https://www.thedrum.com/news/2017/03/27/online-reviews-impact-purchasing-decisions-over-93-consumers-report-suggests,2017,Not specific,Not specific,Conversion,,Not specific,EN
60% of consumers say they look at online reviews at least weekly.,3rd party,"Podium: The State of Online Reviews, 2017.",https://www.thedrum.com/news/2017/03/27/online-reviews-impact-purchasing-decisions-over-93-consumers-report-suggests,2017,Not specific,Not specific,Usage,,Not specific,EN
77% of consumers would be willing to write a review if asked.,3rd party,"Podium: The State of Online Reviews, 2017.",https://www.thedrum.com/news/2017/03/27/online-reviews-impact-purchasing-decisions-over-93-consumers-report-suggests,2017,Not specific,Not specific,Consumer research/behavior,,Not specific,EN
49% of US shoppers 18+ prefer to shop for and buy products online,3rd party,"Profitero and Kantar benchmark report, 2020.",https://insights.profitero.com/rs/476-BCC-343/images/Profitero_The%202020%20eCommerce%20Organizational%20Benchmark%20Report.pdf,2020,Not specific,Brands,Consumer research/behavior,,NA,EN
 77% of all shoppers say online shopping is a consistent or occasional part of their shopping routines,3rd party,"Profitero and Kantar benchmark report, 2020.",https://insights.profitero.com/rs/476-BCC-343/images/Profitero_The%202020%20eCommerce%20Organizational%20Benchmark%20Report.pdf,2020,Not specific,Brands,Consumer research/behavior,,NA,EN
81% of surveyed U.S. consumers have made a purchase through clicking a link or image an influencer shared,3rd party,"Rakuten Marketing conducted research with Viga in December 2018 and January 2019. The survey includes the responses of 719 global marketers and 3,596 global consumers interviewed across the U.S. (200 and 1,030, respectively), Australia, United Kingdom, France and Germany.",https://go.rakutenmarketing.com/hubfs/docs/2019%20Influencer%20Marketing%20Report%20-%20Rakuten%20Marketing.pdf?__hstc=66411697.8f7e567fb859ad9bf92365b3b9056e12.1582480880570.1582480880570.1582480880570.1&__hssc=66411697.1.1582480880571,2019,Not specific,Not specific,"Consumer research/behavior,Influencer marketing",,NA,EN
92% of customers trust peer recommendations over traditional advertising. ,3rd party,"Reputation.com: Retail Reputation Report, 2020.",https://www.reputation.com/resources/report/retail-reputation-report/,2020,Not specific,Not specific,Trust,,Not specific,EN
69% of consumers prefer to look up product reviews on their smartphones while in stores instead of speaking to a store associate.,3rd party,"RetailMeNot survey, 2019.",https://www.emarketer.com/content/two-thirds-of-internet-users-check-phones-in-store-for-product-information-skipping-store-associates,2019,Not specific,Not specific,ROBO,,Global,EN
87% of consumers begin product searches online.,3rd party,"Salesforce: Shopper-First Retailing: Research from 6,000 Consumers and 1.4 Billion Ecommerce Visits, 2019. ",https://www.salesforce.com/blog/2018/08/digital-shopper-first-retail-report-research.html,2018,Not specific,Not specific,Consumer research/behavior,,Not specific,EN
71% of shoppers saying they use mobile devices in stores.,3rd party,"Salesforce: Shopper-First Retailing: Research from 6,000 Consumers and 1.4 Billion Ecommerce Visits, 2019. ",https://www.salesforce.com/blog/2018/08/digital-shopper-first-retail-report-research.html,2018,Not specific,Not specific,ROBO,,Not specific,EN
25% of consumers use their phone to read product reviews while shopping in a physical store.,3rd party,"Salesforce: Shopper-First Retailing: Research from 6,000 Consumers and 1.4 Billion Ecommerce Visits, 2019. ",https://www.salesforce.com/blog/2018/08/digital-shopper-first-retail-report-research.html,2018,Not specific,Not specific,ROBO,,Not specific,EN
75% of customers expect companies to use new technologies to create better experiences.,3rd party,"Salesforce: The New Rules of Customer Engagement, Survey of 8,000 consumers and business buyers 2019.",https://www.salesforce.com/blog/2019/06/customer-engagement-trends.html,2019,Not specific,Not specific,Consumer research/behavior,,Global,EN
64% of customers have used multiple devices to start and complete single transactions.,3rd party,"Salesforce: The New Rules of Customer Engagement, Survey of 8,000 consumers and business buyers 2019.",https://www.salesforce.com/blog/2019/06/customer-engagement-trends.html,2019,Not specific,Not specific,Mobile,,Global,EN
73% of customers say trust in companies matters more than it did a year ago.,3rd party,"Salesforce: The New Rules of Customer Engagement, Survey of 8,000 consumers and business buyers 2019.",https://www.salesforce.com/blog/2019/06/customer-engagement-trends.html,2019,Not specific,Not specific,Trust,,Global,EN
"95% of customers are more likely to be loyal to a company they trust, while 92% are more likely to purchase additional products and services from trusted businesses.",3rd party,"Salesforce: Trends in Customer Trust, 2018; Survey of 6,700 consumers round the world.",https://www.salesforce.com/blog/2018/09/trends-customer-trust-research-transparency.html,2018,Not specific,Not specific,Trust,,Not specific,EN
86% of customers are more likely to share their experiences if they trust the company.,3rd party,"Salesforce: Trends in Customer Trust, 2018; Survey of 6,700 consumers round the world.",https://www.salesforce.com/blog/2018/09/trends-customer-trust-research-transparency.html,2018,Not specific,Not specific,Trust,,Not specific,EN
84% of customers say being treated like a person -- not a number -- is very important to winning their business.,3rd party,"Salesforce: Trends in Customer Trust, 2018; Survey of 6,700 consumers round the world.",https://www.salesforce.com/blog/2018/09/trends-customer-trust-research-transparency.html,2018,Not specific,Not specific,Review Response,,Not specific,EN
73% increase in click-through rates among emails that contain UGC.,3rd party,"Salesforce: User-Generated Content is Transforming B2C Marketing, 2017.",https://www.salesforce.com/blog/2016/02/user-generated-content.html,2017,Not specific,Not specific,Amplification,,Not specific,EN
66% of U.S. shoppers trust a brand digitally because of good reviews.,3rd party,"Salsify: Consumer Research: Why Product Experiences Are What Win Consumer Trust in the Digital Age, 2018.",https://www.salsify.com/hubfs/2018%20Consumer%20Research%20Report/2018%20Consumer%20Research%20Report%20-%20Final.pdf,2018,Not specific,Not specific,"Trust,R&R",,NA,EN
35% of shoppers said better reviews led them to buy the higher-priced option when comparing two products (more than any other factor).,3rd party,"Salsify: Consumer Research: Why Product Experiences Are What Win Consumer Trust in the Digital Age, 2018.",https://www.salsify.com/hubfs/2018%20Consumer%20Research%20Report/2018%20Consumer%20Research%20Report%20-%20Final.pdf,2018,Not specific,Not specific,"Consumer research/behavior,R&R,Conversion",,NA,EN
39% of global e-commerce traffic comes from search.,3rd party,"Serpwatch: SEO Statistics in 2020 That Marketers Should Know, 2020.
",https://serpwatch.io/blog/seo-statistics/,2020,Not specific,Not specific,SEO,,Not specific,EN
31% of internet users discover brands through word-of-mouth recommendations,3rd party,"Source: GlobalWebIndex
H1 2019 Base: 230,936
internet users aged 16-64",https://www.globalwebindex.com/hubfs/Downloads/Commerce_Report.pdf,2019,Not specific,Not specific,Consumer research/behavior,,Global,EN
1 in 4 internet users discover brands through recommendations or comments on social media,3rd party,"Source: GlobalWebIndex
H1 2019 Base: 230,936
internet users aged 16-64",https://www.globalwebindex.com/hubfs/Downloads/Commerce_Report.pdf,2019,Not specific,Not specific,Consumer research/behavior,,Global,EN
36% of online shoppers say reviews from other customers most motivate them to buy a product online.,3rd party,"Source: GlobalWebIndex
H1 2019 Base: 230,936
internet users aged 16-64",https://www.globalwebindex.com/hubfs/Downloads/Commerce_Report.pdf,2019,Not specific,Not specific,Consumer research/behavior,,Global,EN
42% of online shoppers use social networks for product research.,3rd party,"Source: GlobalWebIndex
H1 2019 Base: 279,055
internet users aged 16-64",https://www.globalwebindex.com/hubfs/Downloads/Commerce_Report.pdf,2019,Not specific,Not specific,Consumer research/behavior,,Global,EN
52% of online shoppers users use search engines for product research.,3rd party,"Source: GlobalWebIndex
H1 2019 Base: 279,055
internet users aged 16-64",https://www.globalwebindex.com/hubfs/Downloads/Commerce_Report.pdf,2019,Not specific,Not specific,Consumer research/behavior,,Global,EN
45% of Gen X say they have purchased a product online in the past month,3rd party,"Source: GlobalWebIndex
Q1 2019 Base: 49,253 Gen X Internet Users aged 37-55",https://www.globalwebindex.com/hubfs/Downloads/Generation_X-1.pdf,2019,Not specific,Not specific,Consumer research/behavior,,Global,EN
30% of Gen X use social media to research products to buy,3rd party,"Source: GlobalWebIndex
Q1 2019 Base: 49,253 Gen X Internet Users aged 37-55",https://www.globalwebindex.com/hubfs/Downloads/Generation_X-1.pdf,2019,Not specific,Not specific,"Consumer research/behavior,Social commerce",,Global,EN
24% of Gen X follow brands they are thinking of buying from on social media,3rd party,"Source: GlobalWebIndex
Q1 2019 Base: 49,253 Gen X Internet Users aged 37-55",https://www.globalwebindex.com/hubfs/Downloads/Generation_X-1.pdf,2019,Not specific,Not specific,"Consumer research/behavior,Social commerce",,Global,EN
51% of millennials research products via social networks,3rd party,"Source: GlobalWebIndex
Q4 2018 and Q1 2019
Base: 278,359 Internet Users aged 16-64
Question: How do you typically find out about new brands and products? // Which of the following online sources do you mainly use when you are actively looking for more information about brands, products, or services? // When shopping online, which of these features would most increase your likelihood of buying a product?",https://www.globalwebindex.com/hubfs/Downloads/2019%20Q1%20Social%20Flagship%20Report.pdf,2019,Not specific,Not specific,"Consumer research/behavior,Social commerce",,Global,EN
